odd,date
371.33,2021-04-25 20:26:44.041004
1.17,2021-04-25 20:26:59.190477
,2021-04-25 20:27:17.319968
1.82,2021-04-25 20:27:20.359793
1.12,2021-04-25 20:27:32.528790
1.25,2021-04-25 20:27:44.671796
1.71,2021-04-25 20:28:05.905476
87.73,2021-04-25 20:29:30.733021
1.60,2021-04-25 20:29:48.941045
1.09,2021-04-25 20:30:01.231232
1.00,2021-04-25 20:30:10.323459
1.80,2021-04-25 20:30:31.540062
2.68,2021-04-25 20:30:58.843897
4.60,2021-04-25 20:31:35.218820
1.46,2021-04-25 20:31:53.456620
1.76,2021-04-25 20:32:11.586988
1.20,2021-04-25 20:32:26.740696
1.33,2021-04-25 20:32:41.911577
,2021-04-25 20:32:57.063144
5.16,2021-04-25 20:44:21.165628
1.45,2021-04-25 20:44:36.286071
1.55,2021-04-25 20:44:54.520158
3.57,2021-04-25 20:45:27.900538
1.68,2021-04-25 20:45:49.110643
2.00,2021-04-25 20:46:10.354823
3.25,2021-04-25 20:46:40.672204
1.02,2021-04-25 20:46:52.747572
